./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
Gm35817	0.00	0.00	0.00	0.00	0.00	0.00
Gm35818	0.00	0.00	0.00	0.00	0.00	0.00
Gm35823	0.10	0.00	0.00	0.00	0.00	0.00
Gm35824	0.00	0.00	0.00	0.00	0.00	0.00
Gm35827	0.00	0.00	0.00	0.00	0.00	0.00
Gm35828	0.00	0.00	0.00	0.00	0.00	0.00
Gm35829	0.00	0.00	0.00	0.00	0.00	0.00
Gm35831	0.00	0.00	0.00	0.00	0.00	0.00
Gm35833	0.00	0.00	0.00	0.00	0.00	0.00
Gm35835	0.00	0.00	0.00	0.00	0.00	0.00
Gm35837	0.00	0.00	1.43	0.00	0.00	0.00
Gm35842	0.00	0.00	0.00	0.00	0.00	0.00
Gm35843	0.00	0.00	0.00	0.00	0.00	0.00
Gm35846	0.00	0.00	0.00	0.00	0.00	0.00
Gm35850	0.00	0.00	0.00	0.00	0.00	0.00
Gm35851	0.00	0.00	0.00	0.00	0.00	0.00
Gm35853	10.28	22.96	105.43	298.13	385.34	344.05
Gm35855	0.00	0.00	0.00	0.00	0.00	0.00
Gm35856	0.00	0.00	0.00	0.00	0.00	0.00
Gm35857	2.00	0.00	1.51	3.65	2.35	0.00
Gm35860	0.00	0.00	0.00	0.00	0.00	0.00
Gm35864	0.00	0.00	0.00	0.00	0.00	0.00
Gm35865	0.00	0.00	0.00	0.00	0.00	0.00
Gm35866	0.00	0.00	0.00	0.41	0.00	0.00
Gm35867	0.00	0.00	0.00	0.00	0.00	0.00
Gm3587	0.00	0.00	0.00	0.00	0.00	0.00
Gm35874	0.00	0.23	1.74	0.00	0.00	0.00
Gm35875	0.00	0.00	0.00	0.00	0.00	0.00
Gm35878	0.00	0.00	0.00	0.00	0.00	0.00
Gm35880	0.00	0.00	0.00	0.00	0.00	0.00
Gm35881	0.00	0.00	0.00	0.00	0.00	0.00
Gm35882	0.00	0.00	0.00	0.00	0.00	0.00
Gm35883	0.00	0.27	0.63	0.08	0.00	0.00
Gm35884	0.00	0.00	0.00	0.00	0.00	0.00
Gm35886	0.00	0.00	0.00	0.00	0.00	0.00
Gm35887	0.00	0.00	0.00	0.47	1.15	2.45
Gm35888	0.00	0.00	0.00	0.00	0.00	0.00
Gm35889	0.00	0.00	0.00	0.00	0.00	0.00
Gm35890	0.00	0.00	0.00	0.00	0.00	0.00
Gm35891	0.00	0.00	2.40	21.13	16.82	27.19
Gm35894	0.00	0.00	0.00	0.00	0.00	0.00
Gm35895	0.00	0.00	0.00	0.00	0.00	0.00
Gm35899	0.00	0.00	0.00	0.00	0.00	0.00
Gm35900	0.00	0.00	0.00	0.00	0.00	0.00
Gm35907	0.00	0.00	0.00	0.00	0.00	0.00
Gm35908	0.00	0.00	0.00	0.00	0.00	0.00
Gm35909	0.00	0.00	0.00	0.00	0.00	0.00
Gm35913	0.00	0.00	0.00	0.00	0.00	0.00
Gm35917	0.00	0.00	0.00	0.00	0.00	0.00
Gm35918	0.00	0.00	0.00	0.00	0.00	0.00
Gm35920	0.00	0.00	0.00	0.00	0.00	0.00
Gm35922	0.00	0.00	0.00	0.00	0.00	0.00
Gm35923	0.00	0.00	0.00	0.00	0.00	0.00
Gm35925	0.00	0.00	0.00	0.00	0.00	0.00
Gm35928	0.00	0.00	0.00	0.00	0.00	0.00
Gm35929	0.00	0.00	0.00	0.00	0.00	0.00
Gm35930	0.00	0.00	0.00	0.00	0.00	0.00
Gm35932	3.75	0.00	0.00	0.00	0.00	0.00
Gm35933	0.00	0.00	0.00	0.00	0.00	0.00
Gm35934	1.25	0.00	0.00	0.48	1.11	2.83
Gm35935	0.00	0.00	0.00	0.00	0.00	0.00
Gm35936	0.00	0.00	0.00	0.00	0.00	0.00
Gm35939	0.00	0.00	0.00	0.00	0.00	0.00
Gm3594	0.00	0.00	0.00	0.00	0.00	0.00
Gm35940	0.00	0.00	0.00	0.00	0.00	0.00
Gm35941	0.00	0.00	0.17	15.25	14.54	23.14
Gm35946	0.00	0.00	0.00	0.00	0.00	0.00
Gm35948	0.00	0.00	0.00	0.00	0.00	0.00
Gm35953	0.00	0.00	0.00	0.00	0.00	0.00
Gm35956	0.00	0.00	0.00	0.00	0.00	0.00
Gm35957	0.00	0.00	0.00	0.00	0.00	0.00
Gm35959	0.04	0.00	0.00	0.00	0.00	0.00
Gm3596	0.00	0.00	0.00	0.00	0.00	0.00
Gm35961	0.00	0.00	0.00	0.00	0.00	0.00
Gm35963	0.00	0.00	0.00	0.00	0.00	0.00
Gm35966	0.00	0.00	0.00	0.00	0.00	0.00
Gm35967	0.00	0.00	0.00	0.00	0.00	0.00
Gm35970	0.00	0.00	0.00	0.00	0.00	0.00
Gm35971	0.00	0.00	0.00	0.00	0.00	0.00
Gm35972	0.00	0.00	0.00	0.00	0.00	0.00
Gm35974	0.00	0.00	0.00	0.00	0.00	0.00
Gm35977	1.04	0.00	0.00	0.00	0.00	0.00
Gm35978	0.00	0.00	0.00	0.00	0.00	0.00
Gm35982	0.00	0.00	0.00	0.00	0.00	0.00
Gm35983	0.00	0.00	0.00	0.00	0.00	0.00
Gm35986	0.00	0.00	0.00	0.00	0.00	0.00
Gm35988	0.00	0.00	0.00	0.00	0.00	0.00
Gm35991	0.00	0.00	0.00	0.00	0.00	0.00
Gm35992	0.00	0.00	0.00	0.00	0.00	0.00
Gm35993	0.00	0.00	0.00	0.00	0.00	0.00
Gm35994	0.00	0.00	0.00	0.00	0.00	0.00
Gm35995	0.00	0.00	0.00	0.00	0.00	0.00
Gm35996	0.00	0.00	0.00	0.00	0.00	0.00
Gm35997	0.00	0.00	0.00	0.00	0.00	0.00
Gm35998	0.00	0.00	0.00	0.00	0.00	0.00
Gm35999	0.00	0.00	0.00	0.00	0.00	0.00
Gm36000	0.00	0.00	0.00	0.00	0.00	0.00
Gm36001	0.00	0.00	0.00	0.00	0.00	0.00
Gm36002	0.00	0.00	0.00	0.00	0.00	0.00
Gm36003	0.48	0.00	0.00	4.50	33.10	38.19
Gm36004	0.00	0.00	0.00	0.00	0.00	0.00
Gm36005	0.00	0.00	0.00	0.00	0.00	0.00
Gm36007	0.00	0.00	0.00	0.00	0.00	0.00
Gm36008	0.00	0.00	0.00	0.00	0.00	0.00
Gm36010	0.00	0.00	0.00	0.00	0.00	0.00
Gm36011	0.00	0.00	0.00	0.00	0.00	0.00
Gm36012	0.97	0.00	0.00	0.00	0.00	0.00
Gm36013	0.00	0.00	0.00	0.00	0.00	0.00
Gm36017	0.00	0.00	0.00	0.00	0.00	0.00
Gm36019	0.00	0.00	0.00	0.00	0.00	0.00
Gm36023	0.00	0.00	0.00	0.00	0.00	0.00
Gm36024	0.00	0.00	0.00	0.00	0.00	0.00
Gm36025	0.00	0.00	0.00	0.00	0.00	0.00
Gm36026	0.00	0.00	0.00	0.00	0.00	0.00
Gm36027	0.55	0.52	1.23	0.49	0.45	1.51
Gm36028	0.00	0.00	0.00	0.00	0.00	0.00
Gm36031	0.10	0.00	0.00	0.00	0.00	0.00
Gm36033	0.00	0.00	0.00	0.00	0.00	0.00
Gm36034	0.00	0.00	0.00	0.00	0.00	0.00
Gm36037	0.00	0.00	0.00	0.00	0.00	0.00
Gm36038	0.00	0.00	0.00	0.00	0.00	0.00
Gm3604	19.90	13.66	7.42	0.00	0.56	0.00
Gm36040	0.00	0.00	0.00	0.00	0.00	0.00
Gm36041	0.00	0.00	0.00	0.00	0.00	0.00
Gm36043	0.78	0.00	0.00	1.07	2.95	3.55
Gm36048	0.00	0.00	0.00	0.00	0.00	0.00
Gm36049	0.00	0.00	0.00	0.00	0.00	0.00
Gm36056	0.00	0.00	0.00	0.00	0.00	0.00
Gm36059	0.00	0.00	0.00	0.00	0.00	0.00
Gm36060	0.00	0.00	0.00	0.00	0.00	0.00
Gm36062	0.00	0.00	0.00	0.00	0.00	0.00
Gm36063	0.00	0.00	0.00	0.00	0.00	0.00
Gm36065	0.00	0.00	0.00	0.00	0.00	0.00
Gm36066	0.00	0.00	0.00	0.00	0.00	0.00
Gm36069	0.00	0.00	0.00	0.00	0.00	0.00
Gm36071	0.00	0.00	0.00	0.00	0.00	0.00
Gm36073	0.00	0.00	0.00	0.00	0.00	0.00
Gm36074	0.00	0.00	0.00	0.00	0.00	0.00
Gm36076	0.00	0.00	0.00	0.00	0.00	0.00
Gm36077	0.00	0.00	0.00	0.00	0.00	0.00
Gm36079	0.95	0.67	2.10	2.00	0.81	0.00
Gm36084	0.00	0.00	0.00	0.00	0.00	0.00
Gm36086	0.00	0.00	0.00	0.00	0.00	0.00
Gm36088	0.00	0.00	0.00	0.00	0.00	0.00
Gm36089	0.00	0.00	0.00	0.00	0.00	0.00
Gm36090	0.00	0.00	0.00	0.00	0.00	0.00
Gm36097	0.00	0.00	0.00	0.00	0.00	0.00
Gm36099	0.00	0.00	0.00	0.00	0.00	0.00
Gm36101	0.00	0.00	0.00	0.00	0.00	0.00
Gm36102	1.65	0.00	0.00	0.00	0.00	0.00
Gm36107	0.00	0.00	0.00	0.00	0.00	0.00
Gm36109	4.10	0.54	1.54	1.22	2.68	0.98
Gm36111	0.76	0.00	0.00	0.00	0.00	0.00
Gm36112	0.00	0.00	0.00	0.00	0.47	0.00
Gm36116	0.00	0.00	0.00	0.00	0.00	0.00
Gm36117	1.50	0.06	0.30	0.00	0.00	0.00
Gm36118	0.13	0.00	0.00	0.49	0.06	0.15
Gm36120	0.00	0.00	0.00	0.00	0.00	0.00
Gm36122	0.00	0.32	0.00	0.00	0.00	0.00
Gm36123	0.00	0.00	0.00	0.00	0.00	0.00
Gm36124	0.00	0.00	0.00	0.51	0.47	0.00
Gm36126	0.00	0.00	0.00	0.00	0.00	0.00
Gm36127	0.00	0.00	0.00	0.00	0.00	0.00
Gm36128	0.00	0.00	0.00	0.00	0.00	0.00
Gm36129	0.00	0.00	0.00	0.00	0.00	0.00
Gm36130	0.00	0.00	0.00	0.00	0.00	0.00
Gm36132	0.00	0.00	0.00	0.00	0.00	0.00
Gm36134	0.00	0.00	0.00	0.00	0.00	0.00
Gm36136	0.00	0.00	0.00	0.00	0.00	0.00
Gm36139	0.00	0.00	0.00	0.00	0.00	0.00
Gm36140	0.00	0.00	0.00	0.00	0.00	0.00
Gm36141	0.00	0.00	0.00	0.00	0.00	0.00
Gm36144	0.00	0.00	0.00	0.00	0.00	0.00
Gm36146	0.00	0.00	0.00	0.00	0.00	0.00
Gm36148	0.00	0.00	0.00	0.00	0.00	0.00
Gm36149	0.00	0.00	0.00	0.00	0.00	0.00
Gm36150	0.00	0.00	0.00	0.00	0.00	0.00
Gm36152	0.00	0.00	0.00	0.00	0.00	0.00
Gm36153	0.00	0.00	0.00	0.00	0.00	0.00
Gm36154	0.00	0.00	0.45	2.04	0.78	2.36
Gm36156	0.00	0.00	0.00	0.00	0.00	0.00
Gm36157	0.00	0.04	0.14	0.22	0.75	0.00
Gm36158	0.00	0.00	0.00	0.00	0.00	0.00
Gm36159	0.00	0.00	0.00	0.00	0.00	0.00
Gm36161	43.33	67.54	55.14	16.37	8.29	2.96
Gm36163	0.14	0.16	0.00	0.00	0.00	0.08
Gm36164	0.00	0.00	0.00	0.00	0.00	0.00
Gm36165	0.00	0.00	0.00	0.00	0.00	0.00
Gm36166	0.22	0.06	0.21	0.07	0.00	0.00
Gm36167	0.00	0.00	0.00	0.00	0.00	0.00
Gm36168	0.00	0.00	0.00	0.00	0.00	0.00
Gm36169	0.00	0.00	0.00	0.00	0.47	0.00
Gm36170	0.00	0.00	0.00	0.00	0.00	0.00
Gm36171	0.00	0.00	0.00	0.00	0.00	0.00
Gm36173	0.00	0.00	0.00	0.00	0.00	0.00
Gm36174	0.00	0.00	0.00	0.00	0.00	0.00
Gm36176	0.00	0.00	0.00	0.00	0.00	0.00
Gm36180	0.00	0.00	0.00	0.00	0.00	0.00
Gm36181	0.00	0.00	0.00	0.00	0.00	0.00
Gm36182	0.00	0.00	0.00	0.00	0.00	0.00
Gm36183	0.00	0.00	0.00	0.00	0.00	0.00
Gm36185	0.51	0.06	0.00	0.00	0.00	0.00
Gm36187	0.00	0.00	0.00	0.00	0.00	0.00
Gm36188	0.00	0.00	0.00	0.00	0.00	0.00
Gm36190	0.00	0.00	0.00	0.00	0.00	0.00
Gm36193	0.07	0.00	0.00	0.00	0.00	0.00
Gm36194	0.00	0.00	0.00	0.00	0.00	0.00
Gm36195	0.48	0.22	0.04	1.04	4.99	2.42
Gm36196	0.00	0.00	0.00	0.00	0.00	0.00
Gm36198	1.25	0.80	0.00	0.63	0.50	0.63
Gm36199	0.00	0.00	0.00	0.67	0.00	0.00
Gm36201	0.00	0.00	0.00	0.00	0.00	0.00
Gm36203	0.00	0.00	0.00	0.00	0.00	0.00
Gm36208	0.00	0.00	0.00	0.00	0.00	0.00
Gm36209	0.00	0.00	0.00	0.00	0.00	0.00
Gm36210	0.00	0.00	0.04	0.00	0.00	0.00
Gm36212	0.00	0.00	0.00	0.00	0.00	0.00
Gm36213	0.00	0.00	0.00	0.00	0.00	0.00
Gm36215	0.00	0.00	0.00	0.00	0.00	0.00
Gm36216	0.00	0.00	0.00	0.00	0.00	0.00
Gm36218	0.00	0.00	0.00	0.00	0.00	0.00
Gm36219	0.00	0.00	0.00	0.00	0.00	0.00
Gm36220	0.00	0.00	0.00	0.00	0.00	0.00
Gm36221	0.00	0.00	0.00	0.00	0.00	0.00
Gm36222	0.00	0.00	0.00	0.00	0.00	0.00
Gm36223	0.00	0.00	0.00	0.11	2.96	0.13
Gm36224	0.00	0.00	0.00	0.00	0.00	0.00
Gm36225	0.00	0.00	0.00	0.00	0.00	0.00
Gm36226	0.00	0.00	0.00	0.00	0.00	0.00
Gm36227	0.00	0.00	0.00	0.25	0.00	0.00
Gm36228	0.00	0.00	0.00	0.00	0.00	0.00
Gm36229	1.32	0.00	0.00	0.00	0.15	0.00
Gm36231	0.00	0.00	0.32	1.07	0.00	0.14
Gm36232	0.00	0.00	0.00	0.00	0.00	0.00
Gm36233	0.00	0.00	0.00	0.00	0.00	0.00
Gm36234	0.00	0.00	0.00	0.00	0.00	0.00
Gm36235	0.00	0.00	0.00	0.00	0.00	0.00
Gm36236	0.00	0.00	0.00	0.00	0.00	0.00
Gm36237	0.00	0.00	0.00	0.00	0.00	0.00
Gm36239	0.00	0.00	0.00	0.00	0.00	0.00
Gm36241	0.00	0.00	0.00	0.00	0.00	0.00
Gm36243	0.19	0.00	0.54	0.00	0.00	0.00
Gm36244	0.00	0.00	0.00	0.00	0.00	0.00
Gm36245	0.00	0.00	0.00	0.00	0.00	0.00
Gm36246	0.00	0.00	0.00	0.00	0.00	0.00
Gm36249	0.00	0.00	0.00	0.00	0.00	0.00
Gm3625	0.10	0.00	0.11	0.00	0.00	0.00
Gm36251	0.00	0.00	0.00	0.00	0.00	0.00
Gm36252	0.00	0.00	0.00	0.00	0.00	0.00
Gm36254	0.00	0.00	0.00	0.00	0.00	0.00
Gm36257	0.00	0.00	0.00	0.00	0.00	0.00
Gm36260	0.00	0.00	0.00	0.00	0.00	0.00
Gm36263	0.00	0.00	0.00	0.00	0.00	0.00
Gm36264	0.00	0.00	0.00	0.00	0.00	0.00
Gm36266	1.17	1.58	3.07	7.63	7.14	8.37
Gm36267	0.00	0.00	0.00	0.00	0.00	0.00
Gm36268	0.00	0.00	0.00	0.00	0.00	0.00
Gm36271	0.00	0.00	0.00	0.00	0.00	0.00
Gm36274	0.00	0.00	0.00	0.00	0.00	0.00
Gm36277	0.00	0.00	0.00	0.15	0.21	0.00
Gm36278	0.00	0.00	0.00	0.00	0.00	0.00
Gm36279	2.96	1.38	4.01	2.81	2.83	3.48
Gm36282	0.00	0.00	0.00	0.00	0.00	0.00
Gm36283	0.00	0.00	0.00	0.00	0.00	0.00
Gm36284	0.00	0.00	0.00	0.00	0.00	0.00
Gm36286	0.00	0.00	0.00	0.00	0.00	0.00
Gm36287	0.00	0.11	0.00	0.00	0.00	0.00
Gm36288	0.00	0.00	0.00	0.00	0.00	0.00
Gm36289	0.00	0.00	0.00	0.00	0.00	0.00
Gm3629	0.00	0.00	0.00	0.00	0.00	0.00
Gm36297	0.00	0.00	0.00	0.00	0.00	0.00
Gm36298	10.12	0.47	0.89	0.00	0.50	0.00
Gm36299	0.00	0.00	0.00	0.50	0.14	0.00
Gm36300	0.00	0.00	0.00	0.00	0.00	0.00
Gm36301	0.00	0.00	0.00	0.00	0.00	0.00
Gm36303	0.00	0.00	0.00	0.00	0.00	0.00
Gm36304	0.00	3.26	8.85	16.16	10.69	6.51
Gm36309	0.00	0.00	0.00	0.00	0.00	0.42
Gm36311	0.00	0.00	0.89	0.58	2.70	1.23
Gm36312	0.00	0.00	0.00	0.00	0.00	0.00
Gm36313	0.00	0.00	0.00	0.00	0.00	0.00
Gm36315	0.00	0.00	0.00	0.00	0.00	0.00
Gm36316	0.00	0.00	0.00	0.00	0.00	0.00
Gm36317	0.43	0.44	0.61	1.80	4.97	3.21
Gm36318	0.00	0.09	0.00	0.11	0.00	0.00
Gm36319	0.00	0.00	0.00	0.00	0.00	0.00
Gm36322	0.00	0.00	0.00	0.00	0.00	0.00
Gm36323	0.00	0.00	0.00	0.00	0.00	0.00
Gm36325	0.00	0.00	0.00	0.00	0.00	0.00
Gm36327	0.00	0.00	0.00	0.00	0.00	0.00
Gm36328	0.00	0.00	0.00	0.32	1.32	0.00
Gm36329	0.00	0.00	0.00	0.00	0.00	0.00
Gm36330	0.00	0.00	0.00	0.00	0.00	0.00
Gm36331	0.00	0.00	0.00	0.00	0.00	0.00
Gm36333	0.00	0.00	0.00	0.00	0.61	0.00
Gm36335	0.00	0.00	0.00	0.00	0.00	0.00
Gm36337	0.00	0.00	0.00	0.00	0.00	0.00
Gm36338	0.02	0.38	0.40	0.00	0.00	0.00
Gm36340	0.00	0.00	0.00	0.00	0.00	0.00
Gm36341	0.00	0.00	0.00	0.00	0.00	0.00
Gm36346	0.00	0.00	0.00	0.00	0.00	0.00
Gm36347	0.00	0.00	0.00	0.00	0.00	3.09
Gm36352	0.00	0.00	0.00	0.00	0.00	0.00
Gm36355	0.00	0.00	0.00	0.00	0.00	0.00
Gm36356	0.00	0.00	0.00	0.00	0.00	0.00
Gm36357	0.00	0.00	0.00	0.00	0.00	0.00
Gm36358	0.00	1.26	0.00	0.00	0.00	1.26
Gm36359	0.00	0.00	0.00	0.00	0.00	0.00
Gm3636	0.00	0.00	0.00	0.00	0.00	0.00
Gm36360	0.00	0.00	0.00	0.00	0.00	0.00
Gm36363	0.00	0.00	0.00	0.00	0.00	0.00
Gm36365	0.00	0.00	0.00	0.00	0.00	0.00
Gm36366	0.00	0.00	0.00	0.00	0.00	0.00
Gm36367	0.00	0.00	0.00	0.00	0.00	0.00
Gm36371	0.00	0.00	0.14	0.00	0.00	0.00
Gm36372	0.00	0.00	0.00	0.00	0.00	0.00
Gm36373	0.00	0.00	0.00	0.00	0.00	0.00
Gm36375	0.41	0.16	0.44	1.03	0.93	0.88
Gm36377	0.00	0.00	0.96	0.00	0.00	0.00
Gm36380	0.00	0.00	0.00	0.00	0.00	0.00
Gm36386	0.00	0.00	0.00	0.00	0.00	0.00
Gm36388	0.00	0.00	0.00	0.00	0.00	0.00
Gm36389	0.00	0.00	0.00	0.00	0.00	0.00
Gm36390	0.00	0.00	0.00	0.00	0.00	0.00
Gm36392	0.00	0.00	0.00	0.00	0.00	0.00
Gm36393	0.00	0.25	1.34	11.72	15.37	14.51
Gm36394	0.00	0.00	0.00	0.00	0.00	0.00
Gm36395	0.00	0.00	0.00	0.00	0.00	0.00
Gm364	0.90	0.00	0.07	0.00	0.00	0.00
Gm36402	1.22	0.27	1.38	1.53	2.13	0.92
Gm36405	0.00	0.00	0.00	0.00	0.00	0.00
Gm36406	0.00	0.00	0.00	0.00	0.00	0.00
Gm36408	0.00	0.00	0.00	0.00	0.00	0.00
Gm36409	0.00	0.00	0.00	0.00	0.00	0.00
Gm36410	0.00	0.00	0.00	0.00	0.00	0.00
Gm36411	0.16	0.00	0.00	0.00	0.00	0.00
Gm36412	0.59	0.00	0.00	0.00	0.24	0.00
Gm36414	0.00	0.00	0.00	0.00	0.00	0.00
Gm36416	0.00	0.00	0.00	0.00	0.00	0.00
Gm36417	1.02	0.44	1.86	1.03	0.36	1.31
Gm36419	0.00	0.00	0.00	0.00	0.00	0.00
Gm3642	0.00	0.00	0.00	0.00	0.00	0.00
Gm36420	0.00	0.00	0.00	0.00	0.00	0.00
Gm36423	0.71	0.70	0.65	1.93	4.01	2.78
Gm36424	0.00	0.00	0.00	0.00	0.00	0.00
Gm36426	0.00	0.00	0.00	0.00	0.00	0.00
Gm36427	0.00	0.00	0.00	0.00	0.00	0.00
Gm36428	0.00	0.33	0.00	0.00	0.00	0.00
Gm36429	0.00	0.00	0.00	0.00	0.00	0.00
Gm3643	0.00	0.00	0.00	0.00	0.00	0.00
Gm36430	0.16	0.11	1.26	15.71	30.17	24.04
Gm36431	0.00	0.00	0.00	0.00	0.00	0.00
Gm36434	0.00	0.00	0.00	0.00	0.00	0.00
Gm36435	0.00	0.00	0.00	0.00	0.00	0.00
Gm36437	0.00	0.00	0.00	0.00	0.00	0.00
Gm36438	0.00	0.00	0.00	0.00	0.00	0.00
Gm36439	0.57	0.12	0.00	0.00	0.00	0.13
Gm36440	0.00	0.00	0.00	0.00	0.00	0.00
Gm36441	0.00	0.00	0.00	0.00	0.00	0.00
Gm36443	0.00	0.00	0.00	0.00	0.00	0.00
Gm36445	6.04	4.09	0.69	0.38	0.80	0.00
Gm36446	0.00	0.00	0.00	0.00	0.00	0.00
Gm36447	0.03	0.00	0.00	0.00	0.00	0.10
Gm36448	1.62	0.00	0.00	0.00	0.00	0.00
Gm36449	0.19	0.00	0.00	0.16	1.14	0.84
Gm36451	0.00	0.00	0.00	0.00	0.00	0.00
Gm36456	0.00	0.00	0.00	0.00	0.00	0.00
Gm36457	0.56	0.00	0.00	0.00	0.00	0.00
Gm36458	0.00	0.00	0.00	0.00	0.00	0.00
Gm36459	0.70	3.02	2.05	7.42	13.06	11.92
Gm3646	0.00	0.00	0.00	0.00	0.00	0.00
Gm36460	0.00	0.00	0.00	0.00	0.00	0.00
Gm36462	2.23	2.68	6.16	51.06	23.07	38.09
Gm36466	0.00	0.00	0.00	0.00	0.31	0.00
Gm36470	16.79	0.28	0.00	0.00	0.00	0.00
Gm36472	0.00	0.00	0.00	0.00	0.00	0.00
Gm36474	0.00	0.00	0.00	0.00	0.00	0.00
Gm36475	0.00	0.00	0.00	0.00	0.54	0.00
Gm36476	0.00	0.00	0.00	0.00	0.00	0.00
Gm36477	0.00	0.00	0.00	0.00	0.00	0.00
Gm36478	0.00	0.00	0.00	0.00	0.00	0.00
Gm36480	0.00	0.00	0.00	0.00	0.00	0.00
Gm36481	0.00	0.00	0.00	0.00	0.00	0.00
Gm36482	0.93	0.00	0.17	0.62	1.73	1.58
Gm36485	0.00	0.00	0.00	0.00	0.00	0.00
Gm36486	0.00	0.00	0.00	0.00	0.00	0.00
Gm36488	0.00	0.00	0.00	0.00	0.00	0.00
Gm36493	1.48	0.12	0.00	0.14	0.00	0.00
Gm36495	0.00	0.00	0.00	0.00	0.00	0.00
Gm36496	1.34	4.11	2.81	3.56	1.39	4.86
Gm36498	0.00	0.00	0.00	0.00	0.00	0.00
Gm36499	0.00	0.00	0.00	0.00	0.00	0.00
Gm3650	2.72	1.27	1.82	0.00	3.95	1.71
Gm36500	0.00	0.00	0.00	0.00	0.00	0.00
Gm36502	0.00	0.00	0.00	0.00	0.00	0.00
Gm36503	0.00	0.00	0.00	0.00	0.00	0.00
Gm36505	0.00	2.06	0.00	0.00	1.67	0.00
Gm36507	0.00	0.00	0.00	0.00	0.00	0.00
Gm36509	0.00	0.00	0.00	0.00	0.00	0.00
Gm36510	0.00	0.00	0.00	0.00	0.00	0.00
Gm36513	0.00	0.00	0.00	0.15	0.00	0.00
Gm36517	0.00	0.00	0.00	0.00	0.00	0.00
Gm36518	0.00	0.00	0.00	1.84	9.66	6.64
Gm36520	0.00	0.00	0.00	0.00	0.00	0.00
Gm36521	0.00	0.00	0.00	0.00	0.00	0.00
Gm36522	0.00	0.00	0.00	0.00	0.00	0.00
Gm36523	0.00	0.00	0.00	0.00	0.00	0.00
Gm36525	0.00	0.00	0.00	0.00	0.00	0.00
Gm36528	0.00	0.00	0.00	0.00	0.00	0.00
Gm36529	0.00	0.00	0.00	0.00	0.00	0.00
Gm36531	0.00	0.00	0.00	0.00	0.00	0.00
Gm36533	0.00	0.00	0.00	0.00	0.00	0.00
Gm36534	0.00	0.00	0.00	0.00	0.00	0.00
Gm36535	0.00	0.00	0.00	0.00	0.00	0.00
Gm36536	0.00	0.00	0.00	0.00	0.00	0.00
Gm36537	0.00	0.00	0.00	0.00	0.00	0.00
Gm36538	0.00	0.00	0.00	0.00	0.00	0.00
Gm36539	0.00	0.00	0.00	0.00	0.00	0.00
Gm3654	0.00	0.00	0.00	0.00	0.00	0.00
Gm36540	0.00	0.00	0.00	0.00	0.00	0.00
Gm36541	0.00	0.00	0.00	0.00	0.00	0.00
Gm36543	0.00	0.00	0.00	0.00	0.00	0.00
Gm36544	0.00	0.00	0.00	0.00	0.00	0.00
Gm36547	0.00	0.00	0.00	0.00	0.00	0.00
Gm36548	0.33	0.00	0.00	0.00	0.00	0.00
Gm36549	0.00	0.00	0.00	0.00	0.00	0.00
Gm36550	0.00	0.00	0.00	0.00	0.00	0.00
Gm36551	0.00	10.28	26.75	34.69	56.36	59.81
Gm36552	0.00	0.00	0.00	0.00	0.00	0.00
Gm36553	0.00	0.00	0.00	0.00	0.00	0.00
Gm36555	0.00	0.00	0.00	0.00	0.00	0.00
Gm36556	1.61	0.62	1.05	2.75	2.70	1.00
Gm36560	0.00	0.00	0.00	0.00	0.00	0.00
Gm36561	0.00	0.00	0.00	0.00	0.00	0.00
Gm36563	0.00	0.00	0.00	0.00	0.00	0.00
Gm36565	0.00	0.00	0.00	0.00	0.00	0.00
Gm36567	0.00	0.00	0.00	0.00	0.00	0.00
Gm36568	0.00	0.00	0.00	0.00	0.00	0.00
Gm36571	0.00	0.00	0.00	0.00	0.00	0.00
Gm36572	0.00	0.00	0.13	1.31	1.26	0.79
Gm36574	0.00	0.00	0.00	0.00	0.00	0.00
Gm36582	0.00	0.00	0.00	0.00	0.00	0.00
Gm36583	0.00	0.00	0.00	0.00	0.00	0.00
Gm36584	0.00	0.00	0.00	0.00	0.00	0.00
Gm36585	0.00	0.00	0.00	0.00	0.00	0.00
Gm36586	0.00	0.00	0.00	0.00	0.00	0.00
Gm36587	3.65	0.07	1.69	5.45	6.12	2.94
Gm36589	0.23	0.00	0.15	0.00	0.00	0.26
Gm36590	0.00	0.74	7.71	13.52	7.62	2.95
Gm36591	0.25	0.10	0.31	0.11	0.94	0.64
Gm36592	0.00	0.00	0.00	0.00	0.00	0.00
Gm36594	0.00	0.00	0.00	0.00	0.00	0.00
Gm36595	0.00	0.00	0.00	0.00	0.00	0.00
Gm36596	0.00	0.00	0.00	0.00	0.00	0.00
Gm36597	0.00	0.00	0.00	0.00	0.00	0.00
Gm36598	0.00	0.00	0.00	0.00	0.00	0.00
Gm36599	0.00	0.13	4.08	17.06	31.09	31.98
Gm36600	0.00	0.00	0.00	0.00	0.00	0.00
Gm36601	0.00	0.00	0.00	0.00	0.00	0.00
Gm36602	0.00	0.00	0.00	0.60	0.00	0.00
Gm36603	0.00	0.00	0.00	0.00	0.00	0.00
Gm36604	0.00	0.00	0.00	0.00	0.00	0.00
